Name,playerid,birth_date,PA_21,OBP_21,PA_20,OBP_20,PA_19,OBP_19,PA_18,OBP_18,PA_17,OBP_17,PA_16,OBP_16
Trayce Thompson,9952,3/15/91,35,0.4,,,,,137,0.162,55,0.218,262,0.302
Mike Trout,10155,8/7/91,146,0.466,241,0.39,600,0.43799999999999994,608,0.46,507,0.442,681,0.441
Bryce Harper,11579,10/16/92,599,0.429,244,0.42,682,0.37200000000000005,695,0.39299999999999996,492,0.413,627,0.373
Chris Owings,10030,8/12/91,50,0.42,44,0.318,196,0.209,309,0.272,386,0.299,466,0.315
Nick Fortes,21538,11/11/96,34,0.353,,,,,,,,,,
Juan Soto,20123,10/25/98,654,0.465,196,0.49,659,0.401,494,0.406,,,,
Vladimir Guerrero Jr.,19611,3/16/99,698,0.401,243,0.32899999999999996,514,0.33899999999999997,,,,,,
Byron Buxton,14161,12/18/93,254,0.358,135,0.267,295,0.314,94,0.183,511,0.314,331,0.284
Ronald Acuna Jr.,18401,12/18/97,360,0.39399999999999996,202,0.406,715,0.365,487,0.366,,,,
Brandon Belt,10264,4/20/88,381,0.37799999999999995,179,0.425,616,0.33899999999999997,456,0.342,451,0.355,655,0.39399999999999996
Jesse Winker,13590,8/17/93,485,0.39399999999999996,183,0.38799999999999996,384,0.35700000000000004,334,0.405,137,0.375,,
Frank Schwindel,15351,6/29/92,259,0.371,,,15,0.067,,,,,,
Fernando Tatis Jr.,19709,1/2/99,546,0.364,257,0.366,372,0.379,,,,,,
Yasmani Grandal,11368,11/8/88,375,0.42,194,0.35100000000000003,632,0.38,518,0.349,482,0.308,457,0.33899999999999997
Jose Siri,17452,7/22/95,49,0.34700000000000003,,,,,,,,,,
Luis Robert,20043,8/3/97,296,0.37799999999999995,227,0.302,,,,,,,,
Shohei Ohtani,19755,7/5/94,639,0.37200000000000005,175,0.29100000000000004,425,0.34299999999999997,367,0.361,,,,
Kyle Schwarber,16478,3/5/93,471,0.374,224,0.308,610,0.33899999999999997,510,0.35600000000000004,486,0.315,5,0.2
Joey Votto,4314,9/10/83,533,0.375,223,0.354,608,0.35700000000000004,623,0.41700000000000004,707,0.45399999999999996,677,0.434
Nick Castellanos,11737,3/4/92,585,0.36200000000000004,242,0.298,664,0.337,678,0.354,665,0.32,447,0.331
Corey Seager,13624,4/27/94,409,0.39399999999999996,232,0.358,541,0.335,115,0.348,613,0.375,687,0.365
Aaron Judge,15640,4/26/92,633,0.373,114,0.336,447,0.381,498,0.392,678,0.42200000000000004,95,0.263
Trea Turner,16252,6/30/93,646,0.375,259,0.39399999999999996,569,0.353,740,0.344,447,0.33799999999999997,324,0.37
Bryan Reynolds,19326,1/27/95,646,0.39,208,0.275,546,0.377,,,,,,
Ketel Marte,13613,10/12/93,374,0.377,195,0.32299999999999995,628,0.389,580,0.332,255,0.345,466,0.287
Darin Ruf,9929,7/28/86,312,0.385,100,0.37,,,,,,,89,0.23600000000000002
John Hicks,12547,8/31/89,31,0.258,,,333,0.24,312,0.312,190,0.326,2,0.5
Tyler O'Neill,15711,6/22/95,537,0.35200000000000004,157,0.261,151,0.311,142,0.303,,,,
C.J. Cron,12546,1/5/90,547,0.375,52,0.34600000000000003,499,0.311,560,0.32299999999999995,373,0.305,445,0.325
Kyle Tucker,18345,1/17/97,567,0.359,228,0.325,72,0.319,72,0.23600000000000002,,,,
George Springer,12856,9/19/89,342,0.35200000000000004,222,0.359,556,0.38299999999999995,620,0.34600000000000003,629,0.36700000000000005,744,0.359
Austin Riley,18360,4/2/97,662,0.36700000000000005,206,0.301,297,0.27899999999999997,,,,,,
Freddie Freeman,5361,9/12/89,695,0.39299999999999996,262,0.462,692,0.389,707,0.38799999999999996,514,0.40299999999999997,693,0.4
Buster Posey,9166,3/27/87,454,0.39,,,445,0.32,448,0.359,568,0.4,614,0.36200000000000004
Max Muncy,13301,8/25/90,592,0.368,248,0.331,589,0.374,481,0.391,,,133,0.308
Matt Olson,14344,3/29/94,673,0.371,245,0.31,547,0.35100000000000003,660,0.335,216,0.35200000000000004,28,0.321
Brandon Crawford,5343,1/21/87,549,0.373,193,0.326,560,0.304,594,0.325,570,0.305,623,0.342
Greg Allen,16623,3/15/93,48,0.41700000000000004,32,0.281,256,0.29,291,0.31,39,0.282,,
A.J. Pollock,9256,12/5/87,422,0.355,210,0.314,342,0.327,460,0.316,466,0.33,46,0.326
Paul Goldschmidt,9218,9/10/87,679,0.365,231,0.41700000000000004,682,0.34600000000000003,690,0.389,665,0.40399999999999997,705,0.41100000000000003
Rafael Devers,17350,10/24/96,664,0.35200000000000004,248,0.31,702,0.361,490,0.298,240,0.33799999999999997,,
Jose Ramirez,13510,9/17/92,636,0.355,254,0.386,542,0.327,698,0.387,645,0.374,618,0.363
Cedric Mullins II,17929,10/1/94,675,0.36,153,0.315,74,0.18100000000000002,191,0.312,,,,
Mitch Garver,15161,1/15/91,243,0.358,81,0.247,359,0.365,335,0.335,52,0.28800000000000003,,
Giancarlo Stanton,4949,11/8/89,579,0.354,94,0.387,72,0.40299999999999997,705,0.34299999999999997,692,0.376,470,0.326
Yordan Alvarez,19556,6/27/97,598,0.34600000000000003,9,0.33299999999999996,369,0.41200000000000003,,,,,,
Brandon Nimmo,12927,3/27/93,386,0.401,225,0.40399999999999997,254,0.375,535,0.40399999999999997,215,0.379,80,0.33799999999999997
Teoscar Hernandez,13066,10/15/92,595,0.34600000000000003,207,0.34,464,0.306,523,0.302,95,0.305,112,0.304
Xander Bogaerts,12161,10/1/92,603,0.37,225,0.364,698,0.384,580,0.36,635,0.34299999999999997,719,0.35600000000000004
Marcus Semien,12533,9/17/90,724,0.33399999999999996,236,0.305,747,0.369,703,0.318,386,0.325,621,0.3
Garrett Cooper,15279,12/25/90,250,0.38,133,0.353,421,0.344,38,0.316,45,0.33299999999999996,,
Connor Joe,16572,8/16/92,211,0.379,,,16,0.125,,,,,,
Mookie Betts,13611,10/7/92,550,0.36700000000000005,246,0.366,706,0.391,614,0.43799999999999994,712,0.344,730,0.363
Rhys Hoskins,16472,3/17/93,443,0.33399999999999996,185,0.384,705,0.364,660,0.354,212,0.396,,
Starling Marte,9241,10/9/88,526,0.38299999999999995,250,0.34,586,0.342,606,0.327,339,0.33299999999999996,529,0.36200000000000004
J.D. Martinez,6184,8/21/87,634,0.349,237,0.29100000000000004,657,0.38299999999999995,649,0.402,489,0.376,517,0.373
Will Smith,19197,3/28/95,501,0.365,137,0.401,196,0.337,,,,,,
Carlos Correa,14162,9/22/94,640,0.366,221,0.326,321,0.358,468,0.32299999999999995,481,0.391,660,0.361
Brandon Lowe,18882,7/6/94,615,0.34,224,0.36200000000000004,327,0.336,148,0.324,,,,
Yuli Gurriel,19198,6/9/84,605,0.38299999999999995,230,0.27399999999999997,612,0.34299999999999997,573,0.32299999999999995,564,0.332,137,0.292
Jonathan India,21523,12/15/96,631,0.376,,,,,,,,,,
Pete Alonso,19251,12/7/94,637,0.344,239,0.326,693,0.358,,,,,,
Salvador Perez,7304,5/10/90,665,0.316,156,0.353,,,544,0.27399999999999997,499,0.297,546,0.28800000000000003
Mike Zunino,13265,3/25/91,375,0.301,84,0.23800000000000002,289,0.23199999999999998,405,0.259,435,0.331,192,0.318
Justin Turner,5235,11/23/84,612,0.361,175,0.4,549,0.37200000000000005,426,0.406,543,0.415,622,0.33899999999999997
Luke Maile,13355,2/6/91,34,0.382,,,129,0.205,231,0.33299999999999996,136,0.17600000000000002,126,0.252
J.D. Davis,16219,4/27/93,211,0.384,229,0.371,453,0.369,113,0.248,68,0.27899999999999997,,
Jared Walsh,18607,7/30/93,585,0.34,108,0.324,87,0.276,,,,,,
Jose Altuve,5417,5/6/90,678,0.35,210,0.28600000000000003,548,0.353,599,0.386,662,0.41,717,0.396
Kris Bryant,15429,1/4/92,586,0.353,147,0.293,634,0.382,457,0.374,665,0.409,699,0.385
Matt Vierling,21558,9/16/96,77,0.364,,,,,,,,,,
Rafael Ortega,10323,5/15/91,330,0.36,,,96,0.271,143,0.287,,,202,0.28300000000000003
Adam Engel,15082,12/9/91,140,0.336,93,0.33299999999999996,248,0.304,463,0.27899999999999997,336,0.235,,
Franmil Reyes,14566,7/7/95,466,0.324,241,0.344,548,0.31,285,0.34,,,,
Jose Abreu,15676,1/29/87,659,0.35100000000000003,262,0.37,693,0.33,553,0.325,675,0.354,695,0.353
Bo Bichette,19612,3/5/98,690,0.34299999999999997,128,0.32799999999999996,212,0.358,,,,,,
Ty France,17982,7/13/94,650,0.368,155,0.368,201,0.294,,,,,,
Alfonso Rivas,21560,9/13/96,49,0.38799999999999996,,,,,,,,,,
Josh Donaldson,5038,12/8/85,543,0.35200000000000004,102,0.373,659,0.379,219,0.35200000000000004,496,0.385,700,0.40399999999999997
Delino DeShields,11379,8/16/92,58,0.375,120,0.31,408,0.325,393,0.31,440,0.34700000000000003,203,0.275
Evan Longoria,9368,10/7/85,291,0.35100000000000003,209,0.297,508,0.325,512,0.281,677,0.313,685,0.318
Gavin Sheets,19901,4/23/96,179,0.324,,,,,,,,,,
Josh Bell,13145,8/14/92,568,0.34700000000000003,223,0.305,613,0.36700000000000005,583,0.35700000000000004,620,0.33399999999999996,152,0.368
Tony Kemp,14894,10/31/91,397,0.382,114,0.363,279,0.29100000000000004,295,0.35100000000000003,39,0.256,136,0.29600000000000004
Manny Machado,11493,7/6/92,640,0.34700000000000003,254,0.37,661,0.33399999999999996,709,0.36700000000000005,690,0.31,696,0.34299999999999997
Randy Arozarena,19290,2/28/95,604,0.35600000000000004,76,0.382,23,0.391,,,,,,
Willy Adames,15986,9/2/95,555,0.337,205,0.332,584,0.317,323,0.348,,,,
Jorge Polanco,13152,7/5/93,644,0.32299999999999995,226,0.304,704,0.35600000000000004,333,0.345,544,0.313,270,0.332
Joey Gallo,14128,11/19/93,616,0.35100000000000003,226,0.301,297,0.389,577,0.312,532,0.33299999999999996,30,0.2
Wander Franco,23667,3/1/01,308,0.34700000000000003,,,,,,,,,,
Yoan Moncada,17232,5/27/95,616,0.375,231,0.32,559,0.36700000000000005,650,0.315,231,0.33799999999999997,20,0.25
Jason Castro,8722,6/18/87,179,0.35600000000000004,92,0.293,275,0.332,74,0.257,407,0.33299999999999996,376,0.307
Michael Brantley,4106,5/15/87,508,0.36200000000000004,187,0.364,637,0.37200000000000005,631,0.364,375,0.35700000000000004,43,0.27899999999999997
Patrick Wisdom,13602,8/27/91,375,0.305,2,0,28,0.185,58,0.36200000000000004,,,,
Nelson Cruz,2434,7/1/80,584,0.33399999999999996,214,0.397,521,0.392,591,0.342,645,0.375,667,0.36
Tyler Stephenson,17988,8/16/96,402,0.366,20,0.4,,,,,,,,
Thairo Estrada,16426,2/22/96,132,0.33299999999999996,52,0.231,69,0.294,,,,,,
Avisail Garcia,5760,6/12/91,515,0.33,207,0.33299999999999996,530,0.332,385,0.281,561,0.38,453,0.307
Tyler Naquin,13359,4/24/91,454,0.33299999999999996,141,0.248,294,0.325,183,0.295,40,0.25,365,0.37200000000000005
Tim Anderson,15172,6/23/93,551,0.33799999999999997,221,0.35700000000000004,518,0.35700000000000004,606,0.281,606,0.276,431,0.306
Jeimer Candelario,13621,11/24/93,626,0.35100000000000003,206,0.369,386,0.306,619,0.317,142,0.359,14,0.28600000000000003
Jake Burger,22275,4/10/96,42,0.33299999999999996,,,,,,,,,,
Javier Baez,12979,12/1/92,547,0.319,235,0.23800000000000002,561,0.316,645,0.326,508,0.317,450,0.314
Hunter Renfroe,15464,1/28/92,572,0.315,139,0.252,494,0.289,441,0.302,479,0.284,36,0.389
Santiago Espinal,19997,11/13/94,246,0.376,66,0.308,,,,,,,,
LaMonte Wade Jr.,18126,1/1/94,381,0.326,44,0.318,69,0.348,,,,,,
Brendan Rodgers,17907,8/9/96,415,0.32799999999999996,21,0.095,81,0.272,,,,,,
Trevor Story,12564,11/15/92,595,0.32899999999999996,259,0.355,656,0.363,656,0.348,555,0.308,415,0.341
Jake Cronenworth,18036,1/21/94,643,0.34,192,0.354,,,,,,,,
Ramon Urias,18795,6/3/94,296,0.361,27,0.40700000000000003,,,,,,,,
Adam Frazier,15223,12/14/91,639,0.368,230,0.297,608,0.336,352,0.342,454,0.344,160,0.35600000000000004
Luis Urias,16622,6/3/97,570,0.345,120,0.308,249,0.32899999999999996,53,0.264,,,,
Mitch Haniger,14274,12/23/90,691,0.318,,,283,0.314,683,0.366,410,0.35200000000000004,123,0.309
Matt Beaty,17710,4/28/93,234,0.363,54,0.278,268,0.317,,,,,,
Jesus Sanchez,19913,10/7/97,251,0.319,29,0.172,,,,,,,,
Bryan De La Cruz,19600,12/16/96,219,0.35600000000000004,,,,,,,,,,
Anthony Rizzo,3473,8/8/89,576,0.344,243,0.342,613,0.405,665,0.376,691,0.392,676,0.385
Jake Rogers,19452,4/18/95,127,0.306,,,128,0.222,,,,,,
Chris Taylor,13757,8/29/90,582,0.344,214,0.366,414,0.33299999999999996,604,0.331,568,0.354,65,0.262
T.J. Friedl,19522,8/14/95,36,0.361,,,,,,,,,,
Enrique Hernandez,10472,8/24/91,585,0.337,148,0.27,460,0.304,462,0.336,342,0.308,244,0.28300000000000003
Jean Segura,5933,3/17/90,567,0.348,217,0.34700000000000003,618,0.32299999999999995,632,0.341,566,0.349,694,0.368
Robbie Grossman,5254,9/16/89,671,0.35700000000000004,192,0.344,482,0.33399999999999996,465,0.36700000000000005,456,0.361,389,0.386
Jordan Luplow,16424,9/26/93,193,0.326,92,0.304,261,0.37200000000000005,103,0.272,87,0.276,,
Wilmer Flores,5827,8/6/91,436,0.335,213,0.315,285,0.361,429,0.319,362,0.307,335,0.319
Willson Contreras,11609,5/13/92,483,0.34,225,0.35600000000000004,409,0.355,544,0.33899999999999997,428,0.35600000000000004,283,0.35700000000000004
Nathaniel Lowe,19566,7/7/95,642,0.35700000000000004,76,0.316,169,0.325,,,,,,
Kolten Wong,12532,10/10/90,492,0.335,208,0.35,549,0.361,407,0.332,411,0.376,361,0.327
Robinson Chirinos,3142,6/5/84,112,0.324,82,0.23199999999999998,437,0.34700000000000003,426,0.33799999999999997,309,0.36,170,0.314
Nolan Arenado,9777,4/16/91,653,0.312,201,0.303,662,0.379,673,0.374,680,0.373,696,0.36200000000000004
Ozzie Albies,16556,1/7/97,686,0.31,124,0.306,702,0.35200000000000004,684,0.305,244,0.354,,
Dylan Carlson,20126,10/23/98,619,0.34299999999999997,119,0.252,,,,,,,,
J.T. Realmuto,11739,3/18/91,537,0.34299999999999997,195,0.349,593,0.32799999999999996,531,0.34,579,0.332,545,0.34299999999999997
Alex Bregman,17678,3/30/94,400,0.355,180,0.35,690,0.423,705,0.39399999999999996,626,0.35200000000000004,217,0.313
Dustin Garneau,9433,8/13/87,68,0.25,46,0.273,101,0.35,3,0.667,126,0.272,75,0.293
Nick Madrigal,20521,3/5/97,215,0.349,109,0.376,,,,,,,,
Ryan Mountcastle,18373,2/18/97,586,0.309,140,0.386,,,,,,,,
Andrew McCutchen,9847,10/10/86,574,0.33399999999999996,241,0.324,262,0.37799999999999995,682,0.368,650,0.363,675,0.336
Eduardo Escobar,6153,1/5/89,599,0.314,222,0.27,699,0.32,631,0.33399999999999996,499,0.309,377,0.28
Ji-Man Choi,5452,5/19/91,305,0.348,145,0.331,487,0.363,221,0.35700000000000004,18,0.33299999999999996,129,0.271
Ryan McMahon,15112,12/14/94,596,0.331,193,0.295,539,0.32899999999999996,202,0.307,24,0.33299999999999996,,
Alex Verdugo,17027,5/15/96,604,0.35100000000000003,221,0.36700000000000005,377,0.342,86,0.32899999999999996,25,0.24,,
Bobby Dalbec,19966,6/29/95,453,0.298,92,0.359,,,,,,,,
Jesus Aguilar,11342,6/30/90,510,0.32899999999999996,216,0.35200000000000004,369,0.325,566,0.35200000000000004,311,0.331,6,0
Brandon Drury,11615,8/21/92,88,0.307,49,0.184,447,0.262,86,0.256,480,0.317,499,0.32899999999999996
Taylor Ward,17548,12/14/93,237,0.332,102,0.33299999999999996,48,0.292,147,0.245,,,,
Mark Canha,11445,2/15/89,625,0.358,243,0.387,497,0.396,411,0.32799999999999996,187,0.262,44,0.14
Lourdes Gurriel Jr.,19238,10/10/93,541,0.319,224,0.348,343,0.327,263,0.309,,,,
Kyle Isbel,21614,3/3/97,83,0.337,,,,,,,,,,
Tres Barrera,19977,9/15/94,107,0.374,,,2,0,,,,,,
Charlie Blackmon,7859,7/1/86,582,0.35100000000000003,247,0.35600000000000004,634,0.364,696,0.358,725,0.39899999999999997,641,0.381
Tyrone Taylor,13675,1/22/94,271,0.321,41,0.293,12,0.5,,,,,,
Riley Adams,19864,6/26/96,120,0.358,,,,,,,,,,
Christian Arroyo,16434,5/30/95,181,0.324,54,0.29600000000000004,57,0.304,59,0.33899999999999997,135,0.244,,
Luke Voit,14811,2/13/91,241,0.32799999999999996,234,0.33799999999999997,510,0.37799999999999995,161,0.39799999999999996,124,0.306,,
